cast_id,cast_name,gender,movie_id,k_role,is_main_cast,index,id,k_title,k_type,k_release_date,k_region,k_movie_year,k_genres,is_rating,rating_num,rating_people,k_rating_people,rating_index,k_movie_id,k_cast_id,uid,portray,movie_id_m,cast_role_agg,main_cast
27559561,张东升,男,26665065,演员,是,42,26665065,琅琊榜之风起长林,电视剧,2017-12-18,中国大陆,2017,剧情/古装,有评分,8.4,210088,210088,1328,53330179,55119171,2,晋尚书,m53330179,演员,"黄晓明, 刘昊然, 佟丽娅, 张慧雯, 梅婷"
27484015,尚铁龙,男,35033654,演员,是,29,35033654,山海情,电视剧,2021-01-12,中国大陆,2021,剧情,有评分,9.2,481571,481571,2105,70067357,54968079,4,李运胜,m70067357,演员,"黄轩, 张嘉益, 闫妮, 黄觉, 姚晨"
27484015,尚铁龙,男,33442331,演员,是,14,33442331,我是余欢水,电视剧,2020-04-06,中国大陆,2020,剧情,有评分,7.3,324953,324953,1540,66884711,54968079,5,余父,m66884711,演员,"郭京飞, 苗苗, 高露, 岳旸, 高叶"
27547234,陈昊宇,女,36189205,演员,是,6,36189205,凡人歌,电视剧,2024-08-31,中国大陆,2024,剧情/喜剧,有评分,7.7,77700,77700,773,72378459,55094517,6,谢美蓝,m72378459,演员,"殷桃, 王骁, 章若楠, 秦俊杰, 张哲华"
27558329,杨晓丹,女,34792295,演员,是,61,34792295,乔家的儿女,电视剧,2021-08-17,中国大陆,2021,剧情/家庭,有评分,7.7,235622,235622,1347,69584639,55116707,7,孙姨,m69584639,演员,"白宇, 宋祖儿, 毛晓彤, 张晚意, 周翊然"
27558329,杨晓丹,女,26928226,演员,否,999,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,55116707,8,关娘子,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
27499930,黄宥明,男,26928226,演员,否,999,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,54999909,9,袁文纯,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
27548112,王丽涵,女,36534750,演员,否,999,36534750,小巷人家,电视剧,2024-10-28,中国大陆,2024,剧情/家庭,有评分,8.4,287902,287902,1555,73069549,55096273,10,张婶,m73069549,演员,"闫妮, 李光洁, 郭晓东, 蒋欣, 范丞丞"
27548112,王丽涵,女,34792296,演员,是,65,34792296,欢迎光临,电视剧,2022-05-18,中国大陆,2022,剧情/喜剧/爱情,有评分,6.4,56516,56516,601,69584641,55096273,11,卖货大姐,m69584641,演员,"黄轩, 白百何, 朱雨辰, 白宇帆, 丁嘉丽"
27548112,王丽涵,女,30421903,演员,否,999,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,55096273,12,张校长,m60843855,演员,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
